Begin Down, End Down
295.942, 295.973
295.996, 296.026
296.05, 296.082
296.106, 296.137
296.16, 296.19
299.382, 299.432
299.461, 299.502
299.525, 299.565
299.589, 299.628
299.653, 299.681
299.716, 299.757
299.78, 299.819
299.846, 299.883
299.906, 299.945
299.967, 300.007
300.035, 300.074
300.112, 300.157
300.19, 300.217
300.26, 300.289
300.315, 300.337
300.366, 300.388
300.411, 300.433
300.457, 300.494
300.519, 300.541
300.565, 300.588
300.61, 300.632
300.656, 300.678
300.702, 300.724
300.745, 300.766
300.79, 300.807
300.828, 300.846
300.865, 300.883
300.905, 300.943
300.964, 301.001
301.023, 301.046
301.065, 301.084
301.103, 301.121
304.061, 304.092
304.119, 304.242
304.264, 304.283
304.306, 304.334
304.355, 304.435
304.459, 304.507
304.533, 304.552
304.633, 304.669
304.693, 304.731
304.773, 304.794
304.824, 304.853
304.879, 304.899
304.934, 304.953
304.996, 305.031
305.052, 305.072
305.106, 305.138
305.162, 305.181
305.21, 305.228
305.252, 305.27
305.294, 305.313
305.339, 305.357
305.382, 305.399
305.423, 305.441
305.47, 305.487
305.512, 305.53
305.554, 305.572
305.598, 305.616
305.642, 305.66
305.685, 305.703
305.73, 305.749
305.771, 305.79
308.62, 308.654
308.683, 308.707
308.734, 308.757
308.779, 308.798
308.82, 308.839
308.869, 308.9
308.938, 308.984
309.024, 309.062
309.144, 309.182
309.207, 309.244
309.269, 309.306
309.331, 309.367
309.387, 309.423
309.446, 309.481
309.505, 309.541
309.563, 309.598
309.62, 309.656
309.68, 309.715
309.737, 309.773
309.794, 309.83
309.853, 309.888
309.909, 309.943
309.967, 310.003
310.026, 310.045
310.087, 310.106
310.153, 310.173
310.215, 310.235
310.274, 310.31
310.338, 310.374
310.398, 310.434
313.503, 313.556
313.584, 313.624
313.649, 313.672
313.715, 313.753
313.777, 313.809
